Skills,Position
"charm,retrofit,sap solution manger,sap basis,sap s/4hana,programmation web,analytics,information technology,data warehousing,sap implementation,sql server integration services (ssis),jquery,javascript,pl/sql,oracle database,mysql,sap ,sap hcm,linux,red hat linux,enterprise resource planning (erp),business intelligence (bi),business intelligence tools,microsoft power bi,business intelligence projects,sql server analysis services (ssas),extract, transform, load (etl),sap hana,sap products,sap ewm,sap successfactors,suse linux enterprise server (sles),teamwork,time management,presentation skills,communication,english,french,arabic,project management,incident management,itil,business process management,problem solving,problem management,technical support",Solution Designer SAP Basis
"cisco networking,datastage,talend bigdata,databricks,sql server integration services (ssis),ssas,sql server reporting services (ssrs),microsoft power bi,apache spark",Ingénieur BI
"cloud computing,infrastructure,apache spark streaming,postgresql,apache kafka,elastic stack (elk),nexus,ansible,framework spring,git,angularjs,java,github,python,c,html,javascript,linux,mysql,php,html5,netbeans,node.js,c#,phpmyadmin,hibernate,modèle mvc de spring,jenkins,junit,sql,symfony,glade,mikroc,bases de données,framework symfony,javaserver faces (jsf),javafx,suite des protocoles internet (tcp/ip),itil,cahier des charges fonctionnel,maven",Ingénieur logiciels
"cloud computing,microsoft azure,aws,amazon web services,docker,ansible,communication,résolution de problèmes,devops,kubernetes,jenkins,intégration continue et livraison continue (ci/cd),terraform,linux,virtualisation,automatisation des tests,devsecops,intégration continue,services web",DevOps Engineer
"cloud computing,microsoft visual studio code,debugging,.net framework,debugging code,microsoft azure,natural language processing (nlp),responsible ai,computer vision,artificial intelligence (ai),machine learning,microsoft azure machine learning,gitflow,ci/cd,change management,strategic thinking,career development,organizational culture,data structures,object-oriented programming (oop),git,github,version control,git bash,raspberry pi,arduino ide,arduino,flutter,mongodb,communication protocols,mqtt,database management,systems design,system architecture,hardware integration,project management,agile project management,problem-solving,decision-making,node-red,linux,embedded linux,wordpress,presentation skills,resume writing,postgresql,user interface design,user experience (ux),responsive web design,automated test,agile testing,agile methodologies,technical documentation,software documentation,embedded systems design,iot architecture development,data management for iot,mobile application development,distributed application development,arabic,bug tracking,selenium testing,test execution,test planning,test automation,ticketing systems,canoe,jira,test bench,testing,hmi configuration,software testing,automated software testing,istqb,robot framework,ride ide,web development,web design,graphic design,node.js,react.js,php,figma,express.js,problem solving,c++,c (programming language),python (programming language),c#,assembly language,javascript,java,sql,english",Automotive Software Quality Assurance Engineer
"cloud computing,open source,cloud computing iaas,data center,linux system administration,virtualisation,vmware,lpic,gestion de projet,apple certified,gestion d'équipe,planification d’évènements,sql,centre de données,linux,virtualization,project management,oracle,windows server,scripting",Release Manager
"cloud computing,sd-wan,routeurs cisco,voix sur ip (voip),test de matériel informatique,internet protocol security,vpn mpls,switching,protocoles de routage,protocole internet (ip),lte,jira,java,selenium,php,frameworks php,conception web,api swagger,stratégie de test,automatisation des tests,azure devops,méthodes agiles,assurance qualité,hp quality center,testing,scrum,jenkins,amazon web services (aws),aws lambda",Ingénieur test et validation
"cloud computing,services cloud,python (langage de programmation),xml,c (langage de programmation),r,erp odoo,psql,postgresql,pycharm,eclipse,figma (logiciel),scrum,patrons de conception,android studio,microsoft power bi,oracle sql developer,pl/sql",Ingénieure cloud
"cloud firestore,google maps api,3rd party integrations,play store,design thinking,user interface design,react native,supabase,programming,thinking skills,teamwork,programming languages,french,arabic,turkish,spanish,postman api,scrum,symfony framework,javafx,android,java,firebase,english,project management,strategy,problem solving,self learning,personal development,personal training,communication,management,leadership,flutter,kotlin,project planning",Mobile Developer
"cloud foundry,amazon s3,git,symfony 5.4,php 7,docker,linux,intégration continue et livraison continue (ci/cd),symfony,wordpress,sql,php,angular,ci/cd,apache airflow,python,rabitmq,framework symfony,html,mysql",Développeur php symfony
"cloud snowflake,google cloud platform (gcp),talend,data build tool (dbt),python,apache airflow,docker swarm,produits docker,kubernetes,databricks,gestion de projet,analyse de données,data analysis,analyse des données,amazon web services,azure databricks,snowflake,pyspark,microsoft power bi,curation de données,systèmes embarqués,scrum,science des données,intelligence artificielle,sql,scala,microsoft office,leadership,leadership d’équipe,innovation,pentaho,spotfire,extract, transform, load (etl),méthodes agiles,travail d’équipe,big data",IA & Data engineer
"cmake,object-oriented programming (oop),can bus,some/ip sd,some/ip,protocol buffers,design patterns,modern c++,systemd,vector canalyzer,gerrit,inter-process communication,automotive-dlt,docker,gitlab,misra,scrum,microsoft foundation class library,méthodes agiles,git,linux,c,c++",Software Engineer
"code refactoring,team leadership,time management,planning,primeng,ejs,postgresql,saas development,keycloak,uml tools,front-end development,version control,nestjs,scss,lodash.js,unified modeling language (uml),rollup,storybook.js,nginx,virtual machines,sass,cascading style sheets (css),html,react.js,github,apollo graphql,karma,unit testing,continuous integration and continuous delivery (ci/cd),gitlab,git,scrum,agile web development,typescript,rest apis,yeoman,npm,yarn,rxjs,front end engineering design (feed),css,computer science,javascript,java,jee,node.js,graphql,nosql,mongodb,mysql,ant design,bootstrap,jest,angular,ngrx,embedded javascript (ejs),react,express.js",Software Engineer
"codeigniter,mysql,php,j2ee web services,java,javascript,java enterprise edition,adobe xd,big data,cloud computing,security,laravel,c#,c++,internet of things (iot),python (programming language),project management,node.js,back-end web development",SAP Infra & Basis consultant
"collaboration tools,crm microsoft dynamics,microsoft azure,microsoft power automate,microsoft powerapps,microsoft power bi,développeur web,programmeur,développeur de logiciels,c#,unified modeling language (uml),html,php,css,javascript,microsoft sql server,mysql,microsoft office,oracle database,pl/sql,linux,.net framework,angular,bpmn",Microsoft Technical Consultant
"commande numérique par ordinateur (cnc),arduino,isis,fabrication assistée par ordinateur (fao),microsoft office,tia portal siemens,solidworks",Technicienne maintenance
"communication interpersonnelle,cas de test,python (langage de programmation),Étude des séries temporelles,machine learning,cloud computing,programmation,html,assurance qualité,qaqc,automatisation des tests,framework d’automatisation de tests,automatisation de l’assurance qualité,outils d’automatisation de tests,automation,administration de bases de données,cypress,framework symfony,symfon,français,arabe,maven,jenkins,nosql,spring boot,langage de modélisation unifié (uml),mysql,oracle database,pl/sql,sql,feuilles de style en cascade (css),java,ingénierie,tests logiciels,c#,développement web,devops,c++,xml,github,gitlab,linux,c (langage de programmation),intégration continue,informatique décisionnelle,scrum,réseaux informatiques,istqb,leadership",Analyst Developer
"communication,angular,node.js,mongodb,html5,css,javascript,bootstrap,mysql,customer service,express.js,angularjs,cascading style sheets (css),github,spring boot,spring security,java,sql,git,c++,teamwork,php",Web Developer
"communication,computer science,c#,javascript,sql,angular,angular js,html,css,xml,microsoft sql server,wcf,jquery,team foundation server (tfs),github,asp.net mvc,.net framework,sql server reporting services (ssrs),api web asp.net,développement wpf,wpf,html5,banque,scrum,typescript,visual studio,tdd,ddd,ajax,multithreading,json,développement de logiciel,asp.net,base de données,programmation,applications web,services web,uml,vsts,programmation orientée sur l’aspect,programmation orientée objet,openxml,cqrs,asp.net webapi 2,sql server integration services (ssis),architecture logicielle",Senior Software Developer
"communication,computer science,c++,git lab,git,web development,smart metering,xml-rpc,english,kivy,robot framework,python (programming language),bash,openstack,javascript,api rest,react.js,json,sql,bootstrap,sequelize.js,c (programming language),mysql,angularjs,cascading style sheets (css),html5,express.js,node.js",Python Developer
"communication,grafana,prometheus,problem solving,bash,spring framework,jenkins,git,spring security,azure kubernetes service (aks), k3d,rabbitmq, mongodb,microsoft azure,rasa framework,symfony framework,codename one,javafx,cascading style sheets (css),bootstrap,spring boot,angularjs,kubernetes,openstack,virtualization,containerization,docker,cloud computing,prezi,leadership,english,microsoft powerpoint,web development,html,java,microsoft excel,html5,javascript,microsoft office,leadership development,team leadership,python (programming language),microsoft word,sql,linux,databases,xml,mysql,mongodb,scrum",DevOps Engineer Intern
"communication,java software development,git,english,framework spring,deep learning,python,analyse de données,machine learning,collecte de données,tensorflow,keras,java,spring boot,hadoop,amazon s3,sql,pl/sql,framework symfony,sgbdr,hive,analyses big data,réseaux de neurones,spring security,spring data,.net framework,asp.net,services web restful",Software Engineer
"communication,linq,contrôle de version,maintenance corrective,applications métiers,programmation,c#,.net framework,angular,java,spring boot",Ingénieur étude et développement C#/.NET
"communication,palmyra,analytic problem solving,sql database administration,artificial intelligence (ai),databases,devops,mlops,python (programming language),amazon web services (aws),cloud computing,performance management,websphere mq,jboss eap,problem solving,spring framework,java,c#,javascript,c++,mysql,.net,java enterprise edition,uml,web development,programming,c,xml,programmation web,css,sql,web analytics,reference,mobile game development,javase,j2me,j2ee application development,computer security,ethical hacker,jsf,soap,soa,sécurité,angularjs,symfony,php,programmation,html5,html,feuilles de style en cascade (css),linux,développement de logiciel,testing,.net framework,subversion,eclipse,maven,junit,git,oracle database,struts,personal development,stress management,life skills,web application security",Solutions Architect
"communication,pl/sql,javascript,python ,machine learning ,big data,html,symphonie,css,intelligence artificielle (ia),hadoop,wordpress,angular,node.js,mongodb",Software Engineer : graduation project
"communication,problem solving,leadership,microsoft azure,amazon virtual private cloud,c,visual basic .net (vb.net),comptabilité,base de données,gestion,statistiques,mathématiques,python (langage de programmation),informatique décisionnelle,django,microsoft power bi",Cloud Developer
"communication,qualité des produits,dépannage,résolution de problèmes,compétences analytiques,service clientèle,java,c,c++,mysql,sql,javascript,c#,linux,unified modeling language (uml),html,php,xml,java enterprise edition,html5,cascading style sheets (css),software development,scrum,web development,microsoft office,angularjs,node.js,spring framework,spring boot,primefaces,.net framework,jquery,ajax,nosql,microsoft excel,microsoft sql server,web services,pl/sql",Ingenieur support niveau 3
"communication,teamwork,leadership,microsoft power bi,trading strategies,project management,time management,technical support,help desk support,computer assistance,technology services,application support,spring framework,angular,mysql,c++,c#,html,cascading style sheets (css),python (programming language),database management system (dbms),data mining",Junior Software Engineer
"communication,test unitaire,docker,node.js,jenkins,méthodes agiles,travail d’équipe,produits docker,spring cloud,junit,gitlab,angular ,devops,spring boot,développement full-stack,mysql,ml",Full-stack Developer
"communication,user interface design,user experience (ux),devops,technical staff management,technology leadership,technical project leadership,managing technical personnel,react native,software infrastructure,software design,apache kafka,mysql,design patterns,agile methodologies,kubernetes,domain-driven design (ddd),database management system (dbms),software architecture,java development,hibernate,docker products,version control,rest apis,spring framework,redis,microservices,express.js,jest,java,sonar,rabbitmq,cascading style sheets (css),javascript,node.js,gitlab,ci,axios,mongodb,sentry,redux.js,tailwind css,swagger api,restful webservices,front-end development,typescript,nestjs,django,python,object-oriented programming (oop),unit testing,integration testing,amazon web services (aws),postgresql,graphql,representational state transfer (rest),grpc,python (programming language),git,html,react.js",Technical Lead
"communication,web applications,sonar,nexus,continuous delivery (cd),cloud infrastructure,openstack,docker products,ansible,automation,object-oriented programming (oop),system administration,continuous integration (ci),développement web,script shell,cloud services,terraform,back-end web development,virtualization,continuous integration and continuous delivery (ci/cd),spring framework,engineering,problem solving,maven,aws lambda,aws cloudformation,project management,cloud computing,angular,amazon web services (aws),spring boot,intellectually curious,devops ,bash,kubernetes,gitlab ,git,linux,unix,java,sql,python (langage de programmation),framework symfony,système de gestion de base de données (sgbd),langage de modélisation unifié (uml),français,html5,feuilles de style en cascade (css),bootstrap",Cloud Architect
"compétences analytiques,minutieux,microsoft excel,technologies de l’information,communication,résolution de problèmes,typescript,produits docker,développement java,méthodes agiles,oracle database,test unitaire,pl/sql,representational state transfer (rest),ingénierie informatique,modélisation des données,développement d’applications,linux,git,système d’information,sql,applications web,node.js,api rest,leadership d’équipe,architecture logicielle,gestion de projet,gestion d’équipe,test d'intégration,compétences interpersonnelles,bases de données relationnelles,travail d’équipe,jenkins,bootstrap,php,mysql,html,javascript,framework symfony,html5,feuilles de style en cascade (css),architecture orientée services (soa),développement d’applications mobiles,développement durable,système de gestion de base de données (sgbd),administration système linux,outils de gestion des tests,microservices,framework spring,angularjs,python (langage de programmation),java,services web,bases de données,conception de bases de données",Developpeur fullstack web & Devops
"compétences analytiques,pycharm,linux,vmware,mysql,apache,apache nifi,bases de données,microsoft azure,git,intelligence artificielle (ia),analyse des données,apprentissage automatique,mlfow,travail d’équipe,scrum,gitlab,microsoft power bi,nettoyage de données,r,méthodes agiles,visualisation de données,deep learning,microsoft azure machine learning,python (langage de programmation),sql,analyse de données,informatique décisionnelle,communication,leadership d’équipe,leadership,relation client",Ingénieur de données
"compétences analytiques,xml,junit,microservices,jira,hibernate,compétences interpersonnelles,cpp check,ranorex,ansible,katalon studio,jenkins,python (langage de programmation),automatisation avec perl,docker,sonarqube,artifactory,batch windows,tortoise svn,kubernetes,microsoft azure,docker , docker compose,devops,java,javascript,html5,framework spring,angularjs,bootstrap,pl/sql,sql,langage de modélisation unifié (uml),système de gestion de base de données (sgbd),feuilles de style en cascade (css),français,typescript,arabe,php,symfony,scrum,travail en groupe,bases de données,git,jquery,spring boot,spring security,spring batch,spring data,angular",Ingénieur DevOps
"compétences de coordination,plans de projet,procédures de la qualité,compétences de supervision,esprit critique,calendriers de production,maintenance des équipements,contrôle de production,câblage automobile ,fibre optique,gestion de la production,gestion d’équipes de projet,communication interne,parler en public,système de gestion de données techniques,gestion data,oracle database,gestion des stocks,approvisionnement,catia,tia portal siemens,solidworks,iso/ts 16949,relations avec les employés,leadership,gestion d’équipe,communication,gestion des conflits,gestion du stress,supply chain management ,amélioration continue,audit interne,5s,management de la qualité ,gestion de la qualité,fiber to the x,ftth,lean six sigma,technique de résolution des problèmes 8d,iso 14001,lean manufacturing,tl 9000,iso 9001,sens de l’organisation,Électromécanique,gestion de la logistique,management,planification production,oracle erp,sap erp,génie industriel",Chef de projet
"compétences interpersonnelles,engagement client,succès client,planification de comptes,satisfaction client,business,service de produit,planification de sprints,travail d’équipe,jira,transformation programs,strategic roadmaps,business reviews,written communication,technological solutions,strategic relationships,presentations,computer science,business requirements,strategic planning,it risk management,budgeting & forecasting,creativity and innovation,business process improvement,strategic thinking,market analysis,stakeholder management,technical understanding,time management,emotional intelligence,cross-functional team leadership,agile methodologies,business analysis,entrepreneurship,problem solving,project management,analytical skills,leadership,sql,voix sur ip (voip),feuilles de style en cascade (css),javascript,php,communication,java,mysql,gestion de projet,gestion d’équipe,framework symfony,entrepreneuriat social,android development,android,scrum,mongodb,node.js",Information Technology Delivery Manager
"compétences interpersonnelles,microsoft dynamics ax,microsoft reporting service,ssrs,x++,sure step,project management,sharepoint,sql,.net,erp,windows,windows server,microsoft sql server,active directory,java,linux,data mining,mac os,html,css,javascript,php,java enterprise edition,computer science,team leadership,social media,c++,c,jquery,actionscript,objective-c,backtrack,spring",Solutions Specialist
"comptabilité fiscale,java software development,analyse des données,capital markets,investment banking,langage de modélisation unifié (uml),analyses big data,j2ee,databases,pentaho,agile development,web applications,résolution de problèmes,communication,marketing,développement web,médias,développement d’applications mobiles,stratégie,service client,gestion de projet,management,leadership,vente,méthodes agiles,e-commerce,mysql,laravel",Software Programmer
"computer graphics design,online graphics,product design,software development,community marketing,branding & identity,application frameworks,c#,troubleshooting,digital media,illustrative,typography,communication,social media,logo design,after effects,social media marketing,adobe creative suite,adobe illustrator,json,.net framework,wireframing,user interface design,user experience (ux),adobe photoshop,figma (software),event photography,photo shoots,nonprofit organizations,negotiation,digital strategy,project management,leadership,design,social media management,marketing,photography,graphic design,english,engineering",Software Engineer
"computer science,machine learning ,python,business ,aéronautique,ingénierie,mro,powerpoint,matlab,communication ,management,science des données,data science,digitalisation ,auto-apprentissage,skywise,foundry,sql,git,recherche opérationnelle",Senior data scientist & technical manager
"computer science,programming,debugging,clean coding,npm,problem solving,communication,google cloud platform (gcp),vue.js,react.js,typescript,node.js,java ee,java,angular,microsoft office,twitter bootstrap,c++,c,uml,ruby on rails,git,php,sql,html5,c#,asp.net mvc,nosql,spring framework,mongodb,.net framework,postgresql,docker,javascript,mysql,css,restful webservices,graphql,express.js,kubernetes,casandra,neo4j,soap,linux,github,sass",Software Engineer
"computer vision,computer science,go (programming language),c++,java,jenkins,algorithms,test driven development,mathematics,spring framework,hypertext transfer protocol (http),cmake,maven,git,artificial intelligence,software documentation,distributed systems,javascript,sql,php,coaching,team work,microservices,concurrent programming,continuous integration and continuous delivery (ci/cd),python",Backend Engineer
"conception assistée par ordinateur (cao),automobile,validation de processus,systèmes embarqués,robotique,conception assistée par ordinateur (cad),génie mécanique,Électronique,gestion de projet,conception pour wordpress,montage vidéo,design graphique",Embedded Software Designer
"conception assistée par ordinateur (cao),gestion du stress,techniques de négociation ,la résolution de problème ,la conduit de changement ,travail d’équipe,communication,gestion des conflits,analyse des données,c (langage de programmation),c++,linux,stm32,raspberry pi,iar embedded workbench,c embarqué,i2c,protocoles de communication,récepteur-émetteur asynchrone universel,serial peripheral interfac,systèmes embarqués,microprocesseur,microcontrôleurs,keil,débogage,analogue,ubuntu,composants électroniques,sens de l’organisation,patience,canva,capacité d'apprentissage rapide,git,scrum,résolution de problèmes,créativité,collaboration entre équipes,adaptabilité,c,vhdl,python (langage de programmation),matlab,cubemx,qt,tia portal siemens,conception de circuit imprimé,altium designer,is-is,uvision5,wincc,génie mécanique,hypermesh,conception assistée par ordinateur (cad),solidworks,catia,gestion de projet,méthodes agiles,mécanique des fluides,psim",Responsable de production
"conception assistée par ordinateur (cao),marketing,vente,développement de nouvelles affaires,analyse de données,communication,finance,résolution de problèmes,stratégie,microsoft excel,formation,leadership,compétences analytiques,développement de leadership,développement web,developement mobile,java,python (langage de programmation),c++,php,gestion de projet,français,c (langage de programmation),vhdl,stm32,arduino,raspberry pi,fpga,android,allemand",Computer Technician
"conception d’outils,résolution de problèmes,inspection mécanique,anglais,inspection,ingénierie des processus,gestion d’équipe,génie industriel,indicateurs,traitement des eaux,manutention,ingénierie de projet,microsoft office,maintenance prévisionnelle,maintenance des équipements,ingénierie de maintenance,mécanique,ingénierie,métallurgie,schémas,support technique,5s,plans de projet,bons de commande,génie mécanique,gestion des opérations de fabrication,usinage,microsoft excel,iso 9001,fabrication de métaux,travail d’équipe,entretien d'usine,génie de la fabrication,maintenance préventive planifiée,maintenance préventive,maintenance mécanique,maintenance et réparation,maintenance,planification de la maintenance,gestion de la maintenance,planification des affaires,amélioration des processus métiers,amélioration des processus,la maitrise des machines d’usinage (tour, fraise, rectifieuse…),coswin 8 ,coswin 7 (logiciel gmao),sage 100 (logiciel gmao),sinutrain tournage simplifié avec shopturn,siemens 828d sinumerik operate",Responsable maintenance
"conception de solutions informatiques,Évaluation des besoins,Équipes projet,veille technologique,rédaction,processus de recrutement,fluides,entretiens,développement microsoft,documentation,conseil en management,communication,résolution de problèmes,engagement client,microsoft dynamics 365,microsoft azure,système d’information,c (langage de programmation),packet tracer,feuilles de style en cascade (css),html5,office 365,microsoft power query,gestion de projet,mise en œuvre de solutions,technologies microsoft,sql,typescript,jquery,informix,adobe xd,adobe illustrator,adobe photoshop,sharepoint,.net framework,angular,spring boot,microsoft sql server,microsoft power bi,compétences analytiques,microsoft dynamics,javascript,microsoft powerapps,c#,microsoft power automate,crm microsoft dynamics,gestion de la relation client (crm)",Consultant CRM
"conception web,débogage,développement full-stack,mean stack,minio s3,sql,mysql,phpmyadmin,angular material,github,postgresql,gitlab,java ,spring security,spring batch,typescript,html,spring boot,java,angular,ingénierie,stratégie,communication,résolution de problèmes",Ingénieur Full Stack
"conception web,développement front-end,développement web,expérience utilisateur (ux)",GuideWire Technical Consultant
"conducting workshops,analytical skills,project planning,go live support,sap s/4hana,sap configuration,sap supply chain,supply chain optimization,integrated supply chain management,sap integrated business planning (sap ibp),sap materials management (sap mm),sap production planning,sap sales & distribution,sap business warehouse (sap bw),Électromécanique,génie industriel,logiciel erp,lean manufacturing,gestion de la production,microsoft word,sage erp x3,optimisation de flux de production,5s,project management,sap erp,sap fico,sap implementation,sage x3,communication,negotiation,scrum",SAP IBP Supply Chain Consultant
"confluence,jira,développement de logiciels,javascript,c++,analyse de données,compétences analytiques,analyse financière,html5,spring boot,spring security,framework spring,java, uml,symfony,feuilles de style en cascade (css),matlab, programmation mobile,node.js,angularjs,architecture orientée services (soa),php,mysql,labview,psoc,vhdl,mplab,microsoft office",Analyst Developer
"connexion,rasa,sonarqube,jenkins,fastapi,devops,celery,pandas,analyse financière,powerbi,flask,python,javascript,react.js,mysql,nodejs,java,php,html,sql,html5,django,javaee,git,postgresql,services web restful,docker,symfony,express.js,kubernetes,développement web back-end,framework symfony,python (langage de programmation)",Software Engineer
"construction management,civil engineering,freelancer,engineering,quality control,supervisory skills,organization skills,construction,inspection,autocad,engineering management,design,blueprint reading,pack office,project management,team management,technical drawing,lean construction,project planning,problem solving,structural engineering",Responsable Travaux
"construction,project estimation,microsoft office,microsoft excel,microsoft word,microsoft powerpoint,autocad,revit,microsoft project,primavera p6,arcgis,parler en public,essai granulometrique,essai proctor,essai au nucléodensimètre,lecture de plans,surveillance de travaux sur chantier",Assistant Project Manager
"consulting,it strategy,azure table storage,azure data studio,pyspark,innovation development,startups,training,fintech,machine learning,python (programming language),data engineering,software engineering,deep learning,artificial intelligence (ai),data science,c,sql,tensorflow,pytorch,microsoft azure machine learning,google cloud platform (gcp),leadership,management",AI Data Consultant
"content creation,b2b marketing strategy,b2b marketing,proposal writing,data entry,analysis reports,ad serving,attention to detail,technical specialists,business,business growth,negotiation,applicant tracking systems,sourcing,account servicing,upselling,career counseling,online presence,customer satisfaction (csat),build strong relationships,coaching,succession planning,hr reports,relaunches,pedagogy,listen,client-oriented,professional ethics,confidentiality,training and development (hr),sensitive issues,market research,new business development,prospection,email marketing,marketing metrics,data analytics,hubspot,sales prospecting,inbound marketing,business-to-business (b2b),social recruiting,job applications,screening resumes,automation,defect tracking,resolving issues,human resources (hr),employee relations,interviewing,entrepreneuriat,efficacité des processus,assurance qualité,indicateurs de performance,amélioration continue,présentations,gestion des ressources,rapports et analyses,gestion des comptes,sens de l’organisation,relation client,qualité de service,accords de niveau de service (sla),intégration des nouveaux employés,gestion des talents,processus de vente,génération de leads,formation en communication,communication orale,coaching commercial,compétences de coordination,workable solutions,technologies de l’information,développement de logiciels,notion,software as a service (saas),online support,customer service management,customer service,relationship building,time management,customer support,customer service operations,supervisory skills,people management,leadership,team motivation,customer relationship management (crm),interpersonal skills,problem solving,project management,analytical skills,sales,communication,business development,vision stratégique,développement d’équipe,gestion des ventes,management,assistance technique",Analyste marketing/ventes
"continuous build,animation audiovisuelle,résolution de problèmes,management,gestion de projet web,gestion des risques,déploiement de nouveaux produits,exploitation,technologies de l’information,responsables de projet,leadership,développement de sites,zend framework,communication,esprit critique,travail d’équipe,curiosité intellectuelle,coordination d’équipe,software craftsmanship,conception de projets,développement front-end,conception de bases de données,gestion des priorités,gestion d’équipe,representational state transfer (rest),bases de données,français,intégration continue et livraison continue (ci/cd),ansible,produits docker,framework symfony,html5,javascript,php,jquery,scrum,agile methodologies,shell scripting,gestion de la relation client (crm),gestion de projet,programmation orientée objet (oop),jquery ui,git,services web restful,xml,json,sql,node.js,codeigniter,java,j2ee application development,html,microsoft sql server,pl/sql,php4/5,photoshop,joomla,wordpress,css,uml,angularjs,css3,twitter bootstrap,mysql,linux,jenkins,laravel,sens de l’organisation,devops,architecture mvc,esprit d’équipe,api de services web,technologies web,subversion",Développeur Web Senior
"continuous integration (ci),rabbitmq,java frameworks,sql database administration,oracle sql developer,eclipse,html,mongodb,apache kafka,json,xml,html5,computer science,hibernate,git,oracle database,engineering,java ,queue management,maven,unified modeling language (uml),java database connectivity (jdbc),postgresql,databases,big data,sql,english,php,react.js,java,node.js,nosql,mysql,méthodes agiles,matlab,jquery,javascript,jira,jenkins,jasperreports,cypress.io,développement android,android studio,sdk android,c++,linux,red hat linux",Software Programmer
"contrôle qualité,gestion du temps,travail d’équipe,lean manufacturing,gestion de projet,aéronautique,Électromécanique,gestion d’équipe,solidworks,catia,amélioration continue,ingénierie,génie mécanique,microsoft office,sap erp,métrologie",Project Supervisor
"coordination de projet,gestion d’équipe,planification de la production,optimisation des processus,planification de projets,gestion de projet,contrôle qualité,audit interne,iso 9001,microsoft excel,microsoft word,powerpoint,recherche,leadership,matlab,solidworks,altium designer,isis proteus,graphmatica,lindo,travail d'équipe,recherche opérationnelle,conception de produits mécaniques,research,management,microsoft office",Chargé de projet et responsable Système Qualité
"corporate actions,t2s,clearing & settlement,swift 15022,swift 20022,requirement analysis,requirement documentation,business design documentation,user guide documentation,demo,formation,gestion de projet,gestion d’équipe,microsoft office,uml,sql,xml,quality test method",QA Manager
"corporate recruiting,global talent acquisition,talent sourcing,advertising,screening resumes,marketing strategy,international recruitment,it recruitment,human resources,strategic sourcing,software quality assurance,manual testing,regression testing,web design,scrum,unit testing,graphic design,agile methodologies,test planning,web applications,jira,selenium,html,linux,sql,adobe photoshop,adobe illustrator,php,mysql,unix,git,soapui,team foundation server (tfs),databases,collaborative problem solving,leadership,interpersonal skills,communication,confluence,bug tracking,redmine,mobile testing,adobe muse,social media,french,english,networking,hunting,screening,spanish",Consultante en acquisition de talents
"craftsmanship,google cloud platform (gcp),safe,codeigniter,confluence,docker,services web ,scrum,javascript ,programmation orientée objet (poo),node.js,symfony framework,.net framework,spring boot,angular material,angular,angular cli,php,css,mysql,programmation web,jquery,javascript,html5,ajax,html,wordpress,xml,feuilles de style en cascade (css),sql",Ingénieur développement
"craftsmanship,test-driven development,teamwork,test driven design,docker products,english,docker,microservices,api development,object-oriented programming (oop),ci/cd,dropwizard,apache flink,rabbitmq,apache kafka,kubernetes,multithreading,mysql,git,software development,angular,communication,c#,c (langage de programmation),html,résolution de problèmes,feuilles de style en cascade (css),java,javascript,travail d’équipe,méthodes agiles,microsoft excel,microsoft word,microsoft powerpoint,sql,oracle database,langages de programmation,relations interpersonnelles,consumer services,scrum,microsoft office,php,phpmyadmin,web development,project management,information systems,python (programming language),symfony,angularjs,typescript,android development,spring boot,databases,public speaking,rest apis",Software Developer
"cribl,compétences analytiques,institutions financières,compétences de coordination,technologies microsoft,rédaction,communication interpersonnelle,leadership,autonomie,ibm qradar,azure sentinel,jira,itil,gestion de la relation client (crm),relation client,siem ,soar,opérations de sécurité informatique,bonnes pratiques en sécurité informatique,reporting,gestion des incidents,système d’information,connexis,serveur windows,cybersécurité,security operations center (soc),sécurité,relations de confiance,Évaluation de la vulnérabilité,hacking éthique,sécurité de l'information,continuité des affaires,administrateur systèmes,gestion de la sécurité de l’information,gestion des services informatiques,banque,gestion de projet,data center,project management,infrastructure,troubleshooting,installation logiciel,système d'information,norme pci dss,technologies de l’information,vmware,windows server,linux,microsoft windows,ansible,nessus,leadership d'équipe,communication,devops,veeam,administration de systèmes windows,administration tsm,3par,vplex,agile safe,gestion des vulnérabilités,gestion des événements et des informations de sécurité,mcafee,sécurité applicative,nmap,politique de sécurité,metasploit",Conseiller en gestion des outils de sécurités opérationnels
"crm microsoft dynamics,.net framework,c#,scrum,architecture orientée services (soa),méthodes agiles,services web,uml,mysql,sql,c++,php,html,java,c,git,mongodb,java enterprise edition,feuilles de style en cascade (css),sql server reporting services (ssrs),javascript,team foundation server (tfs),json,services wcf,windows workflow foundation,plugins c#,angular 5,symfony,asp net core",Consultant Microsoft Dynamics CE & Power Platform
"cross-functional team leadership,agile,microsoft sql server,web development,c#,unified communications,project management,software documentation,itil,software development,sales,java,linux,javascript,php,windows server,mysql,iis,oracle,html,css,java enterprise edition,jquery,subversion,apache,sql,active directory,management,coaching,networking,ucce,cisco collaboration systems,cisco ucm,nice call recording,nice,agile project management,leadership",Head of CARE Technology Department | MCRA - Iliad Free
"crystal reports,sage erp x3,microservices,jasperreports,apache kafka,postgresql,power bi,mysql,javascript,big data,data warehouse,analyse de données,c#,c,c++,asp.net mvc,java,mongodb,java enterprise edition,microsoft sql server,sql,sql server integration services (ssis),javafx,pl/sql,talend,symfony",Consultant technique ERP - Sage x3
